instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,blocked_submission_count,list_symbols_called,radar_called,radar_tool_calls,radar_tool_output_chars,radar_verification_satisfied,tools_prompt
conan-31,Submitted,6,10909,10909,0.0,,0,1,True,3,3642,True,neutral
conan-30,Submitted,10,34322,34322,0.0,,0,2,True,3,8817,True,neutral
conan-23,Submitted,30,195952,195952,0.0,,0,2,True,4,11660,True,neutral
conan-33,Submitted,3,5209,5209,0.0,,0,0,True,1,2536,True,neutral
conan-36,Submitted,5,11119,11119,0.0,,0,0,True,1,3265,True,neutral
conan-35,OSError,7,19550,19550,0.0,,0,1,True,1,3407,True,neutral
conan-32,Submitted,20,64483,64483,0.0,,0,0,True,1,3035,True,neutral
conan-34,OSError,15,44611,44611,0.0,,0,0,True,2,4565,False,neutral
conan-38,Submitted,8,28023,28023,0.0,,0,1,True,1,3675,True,neutral
conan-40,Submitted,3,4595,4595,0.0,,0,0,True,1,2102,True,neutral
conan-42,Submitted,11,36279,36279,0.0,,0,0,True,2,5795,True,neutral
conan-41,Submitted,18,61586,61586,0.0,,0,1,True,1,3966,True,neutral
conan-43,Submitted,10,38012,38012,0.0,,0,1,True,2,6756,True,neutral
conan-44,Submitted,8,17375,17375,0.0,,0,1,True,1,2534,True,neutral
conan-39,LimitsExceeded,30,271871,271871,0.0,,0,0,True,5,15634,True,neutral
conan-45,Submitted,5,9336,9336,0.0,,0,0,True,1,3315,True,neutral
conan-37,Submitted,30,315644,315644,0.0,,0,0,True,1,2870,True,neutral
conan-47,Submitted,24,128750,128750,0.0,,0,3,True,1,2525,True,neutral
django-0,LimitsExceeded,30,115841,115841,0.0,,0,1,True,1,3803,False,neutral
conan-46,LimitsExceeded,30,223024,223024,0.0,,0,0,True,1,3184,True,neutral
django-1,LimitsExceeded,30,192491,192491,0.0,,0,0,True,3,7699,False,neutral
django-4,Submitted,9,21466,21466,0.0,,1,0,True,4,5327,True,neutral
django-2,Submitted,17,54131,54131,0.0,,1,2,True,2,4702,True,neutral
django-3,LimitsExceeded,30,95162,95162,0.0,,0,0,True,2,90,True,neutral
django-7,Submitted,22,96665,96665,0.0,,1,3,True,3,8432,True,neutral
django-5,Submitted,30,86816,86816,0.0,,0,0,True,3,1058,True,neutral
django-6,Submitted,29,132301,132301,0.0,,0,0,True,1,2735,True,neutral
django-10,Submitted,4,7038,7038,0.0,,0,1,True,1,2981,True,neutral
django-12,Submitted,13,35745,35745,0.0,,0,0,True,6,6870,True,neutral
django-8,Submitted,30,103536,103536,0.0,,0,0,True,4,3732,True,neutral
django-13,Submitted,8,20571,20571,0.0,,1,0,True,2,5502,True,neutral
django-9,Submitted,28,111377,111377,0.0,,3,1,True,3,6182,True,neutral
django-14,Submitted,10,26470,26470,0.0,,0,0,True,5,7282,True,neutral
django-15,Submitted,5,9959,9959,0.0,,0,0,True,2,4237,True,neutral
django-11,Submitted,30,136685,136685,0.0,,0,1,True,2,5077,True,neutral
django-18,Submitted,15,31462,31462,0.0,,1,3,True,1,2073,True,neutral
django-19,Submitted,12,39957,39957,0.0,,0,0,True,1,2087,True,neutral
django-21,Submitted,5,8262,8262,0.0,,0,0,True,1,2637,True,neutral
django-17,Submitted,25,111733,111733,0.0,,1,0,True,3,8557,True,neutral
django-20,Submitted,16,41570,41570,0.0,,0,0,True,5,3557,True,neutral
django-22,Submitted,8,20439,20439,0.0,,0,1,True,1,3738,True,neutral
django-23,Submitted,21,62660,62660,0.0,,0,0,True,3,171,True,neutral
django-25,LimitsExceeded,30,128546,128546,0.0,,0,0,True,3,2822,True,neutral
django-24,Submitted,30,115110,115110,0.0,,0,0,True,2,5157,True,neutral
django-28,Submitted,10,27906,27906,0.0,,0,0,True,3,5999,True,neutral
django-26,Submitted,30,145585,145585,0.0,,0,0,True,2,3185,True,neutral
django-27,LimitsExceeded,30,94965,94965,0.0,,0,1,True,4,2569,True,neutral
django-29,Submitted,11,25406,25406,0.0,,1,0,True,1,3476,True,neutral
django-30,Submitted,30,102326,102326,0.0,,0,0,True,4,3770,True,neutral
django-32,LimitsExceeded,30,105530,105530,0.0,,0,0,True,1,3636,False,neutral
django-31,Submitted,30,142276,142276,0.0,,0,1,True,2,7035,True,neutral
django-33,Submitted,23,100341,100341,0.0,,4,0,True,3,7483,True,neutral
django-35,Submitted,30,98575,98575,0.0,,0,0,True,2,2883,True,neutral
django-36,Submitted,18,63322,63322,0.0,,1,0,True,3,6637,True,neutral
django-34,Submitted,30,102709,102709,0.0,,0,0,True,1,3032,True,neutral
django-37,Submitted,30,192972,192972,0.0,,0,0,True,3,10499,True,neutral
django-39,Submitted,19,67567,67567,0.0,,1,0,True,2,995,True,neutral
django-38,LimitsExceeded,30,136193,136193,0.0,,0,0,True,3,8124,False,neutral
django-41,Submitted,24,65655,65655,0.0,,0,0,True,3,2794,True,neutral
django-40,LimitsExceeded,30,75444,75444,0.0,,0,0,True,2,121,True,neutral
django-43,LimitsExceeded,30,233200,233200,0.0,,0,0,True,2,6811,True,neutral
django-42,LimitsExceeded,30,135877,135877,0.0,,0,0,True,2,5475,False,neutral
django-44,OSError,26,110040,110040,0.0,,0,1,True,1,3587,False,neutral
django-47,Submitted,5,11771,11771,0.0,,0,1,True,1,3967,True,neutral
django-45,LimitsExceeded,30,75712,75712,0.0,,0,0,True,3,186,True,neutral
flask-0,Submitted,9,20690,20690,0.0,,0,1,True,1,2023,True,neutral
django-46,Submitted,24,101647,101647,0.0,,0,0,True,4,8399,True,neutral
flask-3,Submitted,4,6519,6519,0.0,,0,1,True,1,2668,True,neutral
flask-1,OSError,6,15801,15801,0.0,,0,0,True,1,2613,True,neutral
flask-4,Submitted,6,11350,11350,0.0,,0,0,True,1,2899,True,neutral
flask-2,Submitted,8,20613,20613,0.0,,1,0,True,3,4511,True,neutral
flask-5,Submitted,3,5352,5352,0.0,,0,0,True,1,2601,True,neutral
flask-7,Submitted,3,4301,4301,0.0,,0,0,True,1,2303,True,neutral
flask-6,Submitted,4,6493,6493,0.0,,0,1,True,1,2158,True,neutral
flask-8,Submitted,4,5959,5959,0.0,,0,1,True,1,1950,True,neutral
flask-9,Submitted,4,5419,5419,0.0,,0,0,True,1,1941,True,neutral
flask-10,Submitted,7,21104,21104,0.0,,0,0,True,1,2657,True,neutral
flask-11,Submitted,8,15224,15224,0.0,,0,1,True,1,2370,True,neutral
flask-13,Submitted,4,8445,8445,0.0,,0,1,True,1,2516,True,neutral
flask-14,Submitted,7,14812,14812,0.0,,1,0,True,2,3824,True,neutral
flask-15,Submitted,6,9568,9568,0.0,,0,1,True,1,2704,True,neutral
flask-12,Submitted,17,37901,37901,0.0,,0,0,True,3,2877,True,neutral
flask-17,Submitted,3,4546,4546,0.0,,0,0,True,1,2093,True,neutral
flask-16,Submitted,5,7891,7891,0.0,,0,0,True,1,2003,True,neutral
flask-18,Submitted,6,11085,11085,0.0,,0,0,True,1,2412,True,neutral
flask-19,Submitted,8,14082,14082,0.0,,0,0,True,1,2133,True,neutral
flask-20,Submitted,9,16892,16892,0.0,,0,0,True,1,2109,True,neutral
flask-21,OSError,8,17589,17589,0.0,,0,0,True,1,2695,True,neutral
flask-22,Submitted,8,16748,16748,0.0,,0,0,True,1,2670,True,neutral
flask-25,Submitted,4,10449,10449,0.0,,0,1,True,1,2301,True,neutral
flask-23,OSError,11,42309,42309,0.0,,0,1,True,1,2550,True,neutral
flask-26,Submitted,4,9051,9051,0.0,,0,1,True,1,3470,True,neutral
flask-28,Submitted,3,4619,4619,0.0,,0,0,True,1,2570,True,neutral
flask-27,Submitted,4,6293,6293,0.0,,0,1,True,1,2319,True,neutral
flask-30,Submitted,4,8853,8853,0.0,,0,0,True,1,2960,True,neutral
flask-31,Submitted,3,5959,5959,0.0,,0,0,True,1,2707,True,neutral
flask-32,Submitted,3,5303,5303,0.0,,0,0,True,1,3581,True,neutral
flask-33,Submitted,4,6888,6888,0.0,,0,1,True,1,2965,True,neutral
flask-34,Submitted,4,9973,9973,0.0,,0,1,True,1,3557,True,neutral
flask-24,Submitted,30,180167,180167,0.0,,0,0,True,1,2705,True,neutral
flask-35,Submitted,5,10703,10703,0.0,,1,1,True,1,3072,True,neutral
flask-37,Submitted,4,6779,6779,0.0,,0,1,True,1,2679,True,neutral
flask-36,Submitted,4,10283,10283,0.0,,0,1,True,1,2838,True,neutral
flask-29,LimitsExceeded,30,189244,189244,0.0,,6,1,True,1,2880,False,neutral
flask-38,Submitted,3,5852,5852,0.0,,0,0,True,1,3235,True,neutral
flask-39,Submitted,4,9453,9453,0.0,,0,1,True,1,2253,True,neutral
flask-41,Submitted,4,6787,6787,0.0,,0,1,True,1,2283,True,neutral
flask-40,OSError,6,13376,13376,0.0,,0,0,True,1,3312,True,neutral
flask-43,Submitted,3,5421,5421,0.0,,0,0,True,1,3317,True,neutral
flask-42,Submitted,6,11780,11780,0.0,,0,0,True,1,2173,True,neutral
flask-46,Submitted,6,16288,16288,0.0,,1,1,True,1,2812,True,neutral
flask-44,Submitted,11,35236,35236,0.0,,1,1,True,1,2805,True,neutral
flask-47,Submitted,5,11796,11796,0.0,,0,1,True,2,5275,True,neutral
matplotlib-1,Submitted,7,17550,17550,0.0,,0,0,True,1,2845,True,neutral
matplotlib-0,Submitted,11,64148,64148,0.0,,1,3,True,1,3231,True,neutral
matplotlib-3,OSError,9,67057,67057,0.0,,0,1,True,1,3030,True,neutral
flask-45,Submitted,30,151866,151866,0.0,,0,1,True,3,8155,True,neutral
matplotlib-4,Submitted,11,39114,44668,0.0,,0,1,True,1,2559,True,neutral
matplotlib-2,Submitted,30,193811,193811,0.0,,0,1,True,1,2236,True,neutral
matplotlib-6,Submitted,4,13946,13946,0.0,,0,1,True,1,3412,True,neutral
matplotlib-7,Submitted,7,19528,19528,0.0,,0,0,True,1,3631,True,neutral
matplotlib-8,Submitted,13,133301,133301,0.0,,0,0,True,3,8310,True,neutral
matplotlib-9,Submitted,14,85230,85230,0.0,,0,0,True,1,3072,True,neutral
matplotlib-10,OSError,8,18205,18205,0.0,,0,1,True,1,2584,True,neutral
matplotlib-11,Submitted,4,7687,7687,0.0,,0,1,True,1,3217,True,neutral
matplotlib-12,Submitted,6,15078,15078,0.0,,0,0,True,1,3372,True,neutral
matplotlib-14,Submitted,4,6510,6510,0.0,,0,0,True,1,2093,True,neutral
matplotlib-15,Submitted,6,10072,10072,0.0,,0,1,True,1,2472,True,neutral
matplotlib-16,Submitted,3,5335,5335,0.0,,0,0,True,1,2667,True,neutral
matplotlib-17,Submitted,4,15624,15624,0.0,,0,1,True,1,3674,True,neutral
matplotlib-18,Submitted,4,7035,7035,0.0,,0,1,True,1,2815,True,neutral
matplotlib-13,LimitsExceeded,30,394301,394301,0.0,,0,0,True,29,58795,False,neutral
matplotlib-20,OSError,7,19172,19172,0.0,,0,0,True,1,3053,True,neutral
matplotlib-19,Submitted,13,38961,38961,0.0,,1,2,True,1,2189,True,neutral
matplotlib-21,Submitted,3,5613,5613,0.0,,0,0,True,1,3173,True,neutral
matplotlib-22,Submitted,4,6291,6291,0.0,,0,1,True,1,2187,True,neutral
matplotlib-24,Submitted,6,45959,45959,0.0,,0,1,True,1,2840,True,neutral
matplotlib-23,Submitted,12,43370,43370,0.0,,0,2,True,1,3082,True,neutral
matplotlib-25,Submitted,4,23123,23123,0.0,,0,1,True,1,3460,True,neutral
matplotlib-27,Submitted,4,8176,8176,0.0,,0,1,True,1,2871,True,neutral
matplotlib-26,Submitted,9,20512,20512,0.0,,0,1,True,1,2738,True,neutral
matplotlib-28,Submitted,4,23021,23021,0.0,,0,1,True,1,3496,True,neutral
matplotlib-30,Submitted,3,6131,6131,0.0,,0,0,True,1,3573,True,neutral
matplotlib-29,Submitted,5,32765,32765,0.0,,1,1,True,1,3754,True,neutral
matplotlib-31,Submitted,3,4759,4759,0.0,,0,0,True,1,2955,True,neutral
matplotlib-33,Submitted,3,5440,5440,0.0,,0,0,True,1,3030,True,neutral
matplotlib-32,Submitted,7,16315,16315,0.0,,0,3,True,1,3415,True,neutral
matplotlib-34,Submitted,5,18188,18188,0.0,,1,1,True,1,3034,True,neutral
matplotlib-36,Submitted,3,5902,5902,0.0,,0,0,True,1,3355,True,neutral
matplotlib-37,Submitted,4,15629,15629,0.0,,0,1,True,1,3663,True,neutral
matplotlib-5,Submitted,8,15827,17756,0.0,,0,0,True,1,2463,True,neutral
matplotlib-38,Submitted,4,10942,10942,0.0,,0,0,True,1,3449,True,neutral
matplotlib-39,Submitted,4,7722,7722,0.0,,0,1,True,1,2549,True,neutral
matplotlib-40,Submitted,4,24086,24086,0.0,,0,1,True,1,3038,True,neutral
matplotlib-41,Submitted,4,18508,18508,0.0,,0,1,True,1,3278,True,neutral
matplotlib-35,LimitsExceeded,30,125201,125201,0.0,,12,1,True,1,2721,False,neutral
matplotlib-42,Submitted,4,8272,8272,0.0,,0,1,True,1,3286,True,neutral
matplotlib-43,Submitted,5,15162,15162,0.0,,0,1,True,1,2850,True,neutral
matplotlib-46,Submitted,3,5569,5569,0.0,,0,0,True,1,2878,True,neutral
matplotlib-45,OSError,8,39019,39019,0.0,,0,1,True,1,2774,True,neutral
pylint-0,Submitted,5,8755,8755,0.0,,0,1,True,1,2365,True,neutral
matplotlib-47,Submitted,12,47007,47007,0.0,,0,1,True,4,9529,True,neutral
pylint-1,Submitted,4,7245,7245,0.0,,0,0,True,1,3312,True,neutral
pylint-3,Submitted,9,28444,28444,0.0,,0,0,False,0,0,,neutral
pylint-2,Submitted,9,23997,23997,0.0,,0,1,True,1,2977,True,neutral
pylint-5,Submitted,3,5113,5113,0.0,,0,0,True,1,2917,True,neutral
pylint-4,Submitted,7,16908,16908,0.0,,0,1,True,1,2771,True,neutral
matplotlib-44,LimitsExceeded,30,292217,292217,0.0,,12,1,True,2,5816,False,neutral
pylint-7,Submitted,6,13460,13460,0.0,,0,0,True,1,3009,True,neutral
pylint-9,Submitted,3,4904,4904,0.0,,0,0,True,1,2794,True,neutral
pylint-6,Submitted,14,37037,37037,0.0,,0,0,True,1,3288,True,neutral
pylint-8,Submitted,6,11507,11507,0.0,,0,2,True,1,2298,True,neutral
pylint-10,Submitted,3,4657,4657,0.0,,0,0,True,1,2418,True,neutral
pylint-11,Submitted,3,4412,4412,0.0,,0,0,True,1,2357,True,neutral
pylint-12,Submitted,5,8382,8382,0.0,,0,0,True,2,3069,True,neutral
pylint-13,Submitted,8,9616,9616,0.0,,0,0,True,2,125,True,neutral
pylint-15,Submitted,8,17360,17360,0.0,,0,0,True,3,3289,True,neutral
pylint-14,OSError,12,43220,43220,0.0,,0,0,True,1,2433,True,neutral
pylint-17,Submitted,7,14216,14216,0.0,,0,0,True,4,3387,True,neutral
pylint-16,Submitted,14,67979,67979,0.0,,1,0,True,2,4871,True,neutral
pylint-18,Submitted,10,13195,13195,0.0,,0,0,True,2,114,True,neutral
pylint-19,Submitted,6,11991,11991,0.0,,0,0,True,1,3015,True,neutral
pylint-20,Submitted,6,13749,13749,0.0,,0,0,True,1,3638,True,neutral
pylint-22,Submitted,5,11862,11862,0.0,,0,0,True,2,6867,True,neutral
pylint-21,OSError,11,27350,27350,0.0,,0,0,True,2,4607,False,neutral
pylint-23,Submitted,6,14614,14614,0.0,,0,0,True,3,6933,True,neutral
pylint-25,Submitted,6,11629,11629,0.0,,0,1,True,1,2680,True,neutral
pylint-24,Submitted,13,34131,34131,0.0,,0,0,True,7,347,True,neutral
pylint-26,Submitted,9,25920,25920,0.0,,2,0,True,2,5958,True,neutral
pylint-28,Submitted,3,5679,5679,0.0,,0,0,True,1,3139,True,neutral
pylint-30,Submitted,4,7447,7447,0.0,,0,1,True,1,2971,True,neutral
pylint-31,Submitted,4,6143,6143,0.0,,0,1,True,1,2158,True,neutral
pylint-29,Submitted,9,35897,35897,0.0,,2,1,True,1,3020,True,neutral
pylint-32,Submitted,3,4059,4059,0.0,,0,0,True,1,2096,True,neutral
pylint-33,Submitted,6,10599,10599,0.0,,0,1,True,1,2450,True,neutral
pylint-35,Submitted,4,7294,7294,0.0,,0,1,True,1,2728,True,neutral
pylint-34,Submitted,8,18105,18105,0.0,,2,1,True,1,3304,True,neutral
pylint-27,Submitted,20,108587,108587,0.0,,0,1,True,1,2869,True,neutral
pylint-36,Submitted,4,6679,6679,0.0,,0,1,True,1,2641,True,neutral
pylint-39,Submitted,4,7563,7563,0.0,,0,1,True,1,3245,True,neutral
pylint-38,OSError,7,13110,13110,0.0,,0,1,True,1,1934,True,neutral
pylint-37,Submitted,11,25607,25607,0.0,,0,0,True,2,126,True,neutral
pylint-40,Submitted,4,7227,7227,0.0,,0,1,True,1,2882,True,neutral
pylint-41,Submitted,4,7437,7437,0.0,,0,1,True,1,3648,True,neutral
pylint-42,Submitted,3,6397,6397,0.0,,0,0,True,1,3346,True,neutral
pylint-45,Submitted,3,4534,4534,0.0,,0,0,True,1,2445,True,neutral
pylint-43,Submitted,6,14652,14652,0.0,,0,0,True,1,2856,True,neutral
pylint-46,Submitted,3,4860,4860,0.0,,0,0,True,1,2901,True,neutral
pylint-47,Submitted,3,5076,5076,0.0,,0,0,True,1,3161,True,neutral
pylint-44,Submitted,10,40891,40891,0.0,,0,1,True,3,9840,True,neutral
pytest-2,Submitted,4,7503,7503,0.0,,0,1,True,1,2433,True,neutral
pytest-0,Submitted,9,24885,24885,0.0,,1,2,True,1,1251,True,neutral
pytest-1,OSError,6,39405,39405,0.0,,0,1,True,1,2867,True,neutral
pytest-3,Submitted,8,15454,15454,0.0,,0,0,True,2,4234,True,neutral
pytest-6,Submitted,3,4081,4081,0.0,,0,0,True,1,2068,True,neutral
pytest-5,Submitted,8,34601,34601,0.0,,0,2,True,2,6764,True,neutral
pytest-7,Submitted,6,11267,11267,0.0,,0,1,True,1,2766,True,neutral
pytest-4,Submitted,18,51750,51750,0.0,,0,0,True,1,3948,True,neutral
pytest-9,Submitted,6,30015,30015,0.0,,0,1,True,2,5574,True,neutral
pytest-11,Submitted,5,9241,9241,0.0,,0,0,True,1,2980,True,neutral
pytest-10,OSError,11,28610,28610,0.0,,0,0,True,1,2527,True,neutral
pytest-12,Submitted,5,9358,9358,0.0,,0,0,True,1,2459,True,neutral
pytest-13,Submitted,15,56013,56013,0.0,,0,0,True,4,6939,True,neutral
pytest-14,Submitted,16,55481,55481,0.0,,0,0,True,3,2253,True,neutral
pytest-15,Submitted,5,8082,8082,0.0,,0,0,True,2,2934,True,neutral
pytest-17,Submitted,6,13649,13649,0.0,,0,1,True,1,2431,True,neutral
pytest-8,LimitsExceeded,30,162345,162345,0.0,,0,0,True,1,2731,True,neutral
pytest-18,Submitted,7,35821,35821,0.0,,0,1,True,2,3887,True,neutral
pytest-16,Submitted,24,87861,87861,0.0,,1,0,True,2,6151,True,neutral
pytest-20,OSError,10,26425,26425,0.0,,0,0,True,1,3874,True,neutral
pytest-21,Submitted,5,7537,7537,0.0,,0,0,True,2,2316,True,neutral
pytest-23,Submitted,11,23010,23010,0.0,,0,0,True,2,3638,True,neutral
pytest-22,Submitted,14,49880,49880,0.0,,1,2,True,5,3198,True,neutral
pytest-19,Submitted,27,84899,84899,0.0,,0,0,True,1,2187,True,neutral
pytest-24,Submitted,6,12078,12078,0.0,,0,0,True,1,2690,True,neutral
pytest-26,Submitted,4,5964,5964,0.0,,0,0,True,1,1840,True,neutral
pytest-25,Submitted,5,9831,9831,0.0,,0,2,True,1,3370,True,neutral
pytest-27,Submitted,4,7692,7692,0.0,,0,0,True,1,3641,True,neutral
pytest-29,Submitted,7,31086,31086,0.0,,0,1,True,3,10597,True,neutral
pytest-31,Submitted,10,53120,53120,0.0,,0,0,True,3,10688,True,neutral
pytest-32,Submitted,14,44370,44370,0.0,,2,3,True,1,3533,True,neutral
pytest-30,LimitsExceeded,30,148869,148869,0.0,,14,1,True,1,3888,False,neutral
pytest-33,Submitted,4,5855,5855,0.0,,0,0,True,2,2986,True,neutral
pytest-35,Submitted,5,24163,24163,0.0,,0,1,True,2,6908,True,neutral
pytest-34,Submitted,18,74144,74144,0.0,,4,2,True,1,3505,True,neutral
pytest-28,Submitted,30,138045,138045,0.0,,0,1,True,1,2408,True,neutral
pytest-37,Submitted,5,8749,8749,0.0,,0,1,True,2,2687,True,neutral
pytest-39,Submitted,5,15115,15115,0.0,,0,1,True,1,2826,True,neutral
pytest-38,Submitted,6,10946,10946,0.0,,0,0,True,1,2358,True,neutral
pytest-41,Submitted,4,7150,7150,0.0,,0,1,True,1,2767,True,neutral
pytest-42,Submitted,10,51882,51882,0.0,,0,0,True,1,3284,True,neutral
pytest-40,Submitted,19,80376,80376,0.0,,0,0,True,11,17248,True,neutral
pytest-36,Submitted,30,207887,207887,0.0,,0,0,True,3,9912,True,neutral
pytest-44,Submitted,8,23211,23211,0.0,,0,0,True,2,5280,True,neutral
pytest-45,Submitted,6,11661,11661,0.0,,0,0,True,1,3454,True,neutral
pytest-43,Submitted,7,31609,31609,0.0,,0,1,True,1,2900,True,neutral
pytest-46,Submitted,7,16756,16756,0.0,,0,0,True,1,3029,True,neutral
pytest-47,Submitted,15,54010,54010,0.0,,0,1,True,2,6590,True,neutral
reflex-1,Submitted,18,84927,84927,0.0,,0,5,True,5,7791,True,neutral
django-16,Submitted,30,332264,354668,0.0,,0,0,True,1,949,True,neutral
